X,SubjID,Site,Task,Congruency,RT,Acc
9133,p57,ffa,object,incong,838.8751817,1
3313,P12,lo,face,cong,1170.337782,0
13789,p73,ffa,object,cong,1226.381472,1
8758,p56,ffa,object,cong,1136.136464,1
10378,p61,ffa,object,cong,1061.953677,0
7442,p51,lo,object,cong,1173.828691,1
14225,p74,lo,object,cong,527.7138152,0
1216,P04,lo,face,cong,882.8863371,1
8800,p56,ffa,object,cong,1275.356943,0
7994,p53,lo,object,cong,1037.277126,1
3908,P14,lo,face,cong,1165.713774,0
11594,p65,ffa,object,incong,503.3362837,1
5689,P20,ffa,face,cong,526.6143194,1
2523,P09,ffa,face,cong,1267.614627,1
2204,P08,ffa,face,cong,460.6425835,1
5472,P19,lo,face,cong,561.3466982,0
11439,p64,lo,object,cong,1111.656724,1
6733,P23,lo,face,cong,896.7158507,1
1583,P06,ffa,face,cong,1070.277763,0
10097,p60,ffa,object,cong,711.4748273,1
347,P02,ffa,face,cong,946.351093,1
13271,p70,lo,object,incong,1224.8311,1
11136,p63,lo,object,cong,1073.418081,0
3096,P10,lo,face,cong,730.2481284,1
6618,P23,ffa,face,incong,610.3593774,0
719,P03,ffa,face,incong,616.1986389,1
12734,p68,lo,object,cong,1175.488575,0
1744,P06,lo,face,cong,1131.376005,1
11527,p64,lo,object,incong,475.2685204,0
4829,P17,ffa,face,cong,959.6207383,0
5549,P19,lo,face,cong,484.4828284,0
7144,P24,lo,face,cong,794.0261379,0
6777,P23,lo,face,cong,760.7127139,0
10016,p60,ffa,object,cong,1031.526169,0
9501,p58,ffa,object,cong,618.1476804,1
3868,P14,ffa,face,cong,484.7235867,0
802,P03,lo,face,cong,763.4051104,1
7787,p52,lo,object,cong,804.5618912,1
10161,p60,lo,object,cong,981.2648151,0
9196,p57,ffa,object,cong,730.5984657,1
2038,P07,lo,face,cong,969.3392034,0
900,P03,lo,face,incong,611.5307695,0
6047,P21,ffa,face,cong,1227.648387,1
13546,p72,ffa,object,cong,1036.223768,1
2052,P07,lo,face,incong,611.2054577,1
10603,p61,lo,object,cong,1144.947928,0
9888,p59,lo,object,cong,818.1745162,0
6914,P24,ffa,face,cong,504.4642928,1
7294,p51,ffa,object,cong,965.2036126,1
7381,p51,lo,object,cong,892.8165396,1
11670,p65,ffa,object,cong,715.0181117,1
218,P01,lo,face,cong,873.1474741,0
11763,p65,lo,object,cong,584.2940825,0
2422,P08,lo,face,cong,1016.018325,1
3801,P14,ffa,face,cong,762.2077172,0
6314,P22,ffa,face,cong,497.593165,1
3346,P12,lo,face,cong,1250.444053,1
5711,P20,ffa,face,cong,1205.171494,0
1286,P05,ffa,face,cong,575.7080302,0
5092,P18,ffa,face,cong,413.3225001,0
11768,p65,lo,object,cong,757.3085321,1
2234,P08,ffa,face,cong,1068.36493,0
9170,p57,ffa,object,cong,694.0889491,1
13433,p72,ffa,object,cong,424.2945032,1
4756,P17,ffa,face,incong,556.2738291,0
2446,P08,lo,face,cong,594.487524,0
2599,P09,ffa,face,cong,1285.989196,0
4639,P16,lo,face,cong,1227.635865,0
10234,p60,lo,object,incong,1190.151363,0
11148,p63,lo,object,cong,740.0299002,0
3422,P12,lo,face,incong,813.6184844,1
2783,P09,lo,face,cong,539.4670882,1
5942,P21,ffa,face,cong,638.9329191,0
11396,p64,lo,object,cong,619.7385686,0
378,P02,ffa,face,cong,583.1895784,1
545,P02,lo,face,incong,1078.370916,0
1348,P05,ffa,face,cong,838.9179707,1
12679,p68,lo,object,cong,595.3055503,0
8950,p56,lo,object,cong,510.8257892,1
12326,p67,lo,object,incong,693.1756854,1
3777,P14,ffa,face,cong,1191.768758,1
10743,p62,ffa,object,cong,687.0574445,0
2699,P09,lo,face,cong,493.0402823,0
12369,p67,lo,object,cong,501.7027313,1
9949,p59,lo,object,incong,643.1027963,0
2379,P08,lo,face,cong,436.9027106,1
4269,P15,lo,face,cong,803.7777923,1
11744,p65,lo,object,incong,910.4221118,1
6494,P22,lo,face,cong,491.7902875,1
5567,P19,lo,face,cong,575.480778,1
14278,p74,lo,object,cong,545.1760005,1
11626,p65,ffa,object,cong,1152.423808,0
4741,P17,ffa,face,cong,487.6143455,1
5589,P19,lo,face,cong,1213.493748,0
12133,p66,lo,object,cong,620.3548614,1
8084,p53,lo,object,cong,1261.034218,0
7487,p51,lo,object,incong,467.868128,0
13960,p73,lo,object,incong,1193.397322,0
12058,p66,lo,object,cong,1036.588743,0
11681,p65,ffa,object,cong,804.0161041,1
7868,p53,ffa,object,cong,775.1515619,0
12612,p68,ffa,object,incong,1218.844167,0
7084,P24,lo,face,incong,758.3162039,1
4155,P15,ffa,face,cong,932.9394296,0
6352,P22,ffa,face,cong,495.8073867,0
10616,p62,ffa,object,cong,562.523142,0
9758,p59,ffa,object,cong,498.8999417,1
3583,P13,ffa,face,incong,662.4436679,0
2933,P10,ffa,face,cong,626.6372693,0
10385,p61,ffa,object,cong,1231.621224,0
11361,p64,ffa,object,cong,813.6512568,0
7747,p52,lo,object,cong,599.2634239,1
9763,p59,ffa,object,cong,410.445883,1
5551,P19,lo,face,cong,1238.228837,1
12114,p66,lo,object,cong,697.6069606,0
4696,P17,ffa,face,incong,1001.359486,0
8904,p56,lo,object,cong,739.7171636,0
3138,P12,ffa,face,cong,591.9176299,0
9995,p60,ffa,object,cong,759.6513769,0
3363,P12,lo,face,cong,449.2629939,1
12432,p67,lo,object,cong,1095.676238,0
2252,P08,ffa,face,cong,864.5557873,1
7894,p53,ffa,object,cong,745.5577083,0
751,P03,ffa,face,cong,711.7487339,1
7126,P24,lo,face,cong,531.005906,1
8574,p55,ffa,object,cong,1138.521024,0
3253,P12,ffa,face,cong,1206.5269,1
4991,P17,lo,face,cong,589.8330595,0
2889,P10,ffa,face,incong,1139.54136,0
10598,p61,lo,object,incong,569.6994543,0
12530,p68,ffa,object,cong,1039.655075,1
13353,p70,lo,object,cong,1220.154233,1
4683,P17,ffa,face,cong,732.6345643,1
4591,P16,lo,face,cong,949.5620015,0
9981,p59,lo,object,cong,1197.675459,0
10692,p62,ffa,object,cong,519.488735,0
13829,p73,ffa,object,cong,1181.922196,0
4928,P17,lo,face,cong,407.4981157,0
13577,p72,lo,object,cong,1135.854949,0
6299,P22,ffa,face,cong,554.9604167,1
5488,P19,lo,face,cong,586.2132512,0
342,P02,ffa,face,cong,1011.01258,1
14021,p73,lo,object,cong,409.5303177,0
11884,p66,ffa,object,cong,756.384865,1
13786,p73,ffa,object,cong,1270.627078,1
3570,P13,ffa,face,incong,1276.065155,0
3444,P13,ffa,face,cong,533.0383293,0
4182,P15,ffa,face,cong,433.0370404,0
7924,p53,ffa,object,cong,1157.864238,0
13638,p72,lo,object,cong,1046.744961,0
1370,P05,ffa,face,cong,1204.949145,0
4637,P16,lo,face,cong,964.2456056,0
12483,p68,ffa,object,cong,1132.471402,1
9254,p57,lo,object,cong,980.1846407,0
7901,p53,ffa,object,cong,958.9068967,0
3011,P10,lo,face,incong,640.7727048,1
9272,p57,lo,object,cong,602.9673706,0
1359,P05,ffa,face,cong,438.1106003,1
3647,P13,lo,face,cong,1142.261332,0
9186,p57,ffa,object,cong,556.3249705,1
13706,p72,lo,object,cong,714.5557449,0
797,P03,lo,face,cong,518.2325965,1
14179,p74,ffa,object,cong,1148.223647,0
14293,p74,lo,object,cong,885.0960703,0
14218,p74,lo,object,cong,445.9727661,0
4467,P16,ffa,face,cong,1282.464835,0
8889,p56,ffa,object,cong,1277.800328,1
13341,p70,lo,object,cong,535.8692105,0
4765,P17,ffa,face,cong,423.7254439,1
12400,p67,lo,object,cong,1261.177242,0
11855,p65,lo,object,cong,938.7119534,0
13767,p73,ffa,object,cong,934.9971777,0
12567,p68,ffa,object,cong,818.3417282,0
5384,P19,ffa,face,cong,571.6871443,1
8247,p54,ffa,object,cong,482.5892257,0
7281,p51,ffa,object,cong,1150.097745,0
2059,P07,lo,face,cong,1003.119564,1
4703,P17,ffa,face,incong,1157.307988,0
5998,P21,ffa,face,cong,918.1930306,1
10510,p61,lo,object,cong,1283.591281,0
2188,P08,ffa,face,cong,1085.586523,1
10730,p62,ffa,object,incong,925.1985177,0
9371,p58,ffa,object,cong,1208.689028,1
10525,p61,lo,object,cong,679.4095056,0
13722,p72,lo,object,cong,779.9142696,0
7013,P24,ffa,face,incong,791.3933637,0
9296,p57,lo,object,cong,574.8877945,1
13503,p72,ffa,object,cong,1020.438399,1
7477,p51,lo,object,cong,405.0694474,0
12348,p67,lo,object,cong,464.4076284,1
14309,p74,lo,object,incong,986.6209998,0
8626,p55,lo,object,incong,1076.67656,0
7385,p51,lo,object,cong,764.1370975,1
11840,p65,lo,object,cong,809.961277,1
10543,p61,lo,object,incong,1203.425645,1
7836,p53,ffa,object,cong,462.1000499,1
6137,P21,lo,face,cong,534.4164637,1
8524,p55,ffa,object,cong,803.2021293,0
11581,p65,ffa,object,cong,964.5153391,1
8037,p53,lo,object,cong,648.7374669,0
11352,p64,ffa,object,cong,968.2557343,1
6013,P21,ffa,face,cong,1047.143174,1
13870,p73,ffa,object,incong,933.1813335,1
11935,p66,ffa,object,cong,642.1804919,1
10326,p61,ffa,object,cong,1167.719169,0
3491,P13,ffa,face,cong,1001.411564,1
12881,p69,ffa,object,incong,1081.179387,1
4085,P15,ffa,face,cong,672.4776153,1
2231,P08,ffa,face,cong,488.8681464,0
3443,P13,ffa,face,cong,794.3420888,0
13362,p70,lo,object,cong,505.4100684,1
9217,p57,lo,object,cong,531.8038689,0
395,P02,ffa,face,cong,648.6075637,0
5761,P20,ffa,face,cong,714.4967585,1
8951,p56,lo,object,cong,527.8090375,1
9203,p57,ffa,object,incong,950.6830448,1
11181,p63,lo,object,cong,893.3986579,0
9541,p58,lo,object,cong,993.2537498,1
6840,P23,lo,face,incong,626.8818486,0
8109,p53,lo,object,cong,869.862696,0
1848,P06,lo,face,incong,458.2363647,1
7621,p52,ffa,object,cong,537.6077619,0
12526,p68,ffa,object,cong,1080.049871,0
12397,p67,lo,object,cong,649.4219493,0
8883,p56,ffa,object,cong,683.22105,0
35,P01,ffa,face,cong,830.4810545,1
2213,P08,ffa,face,cong,702.5247193,1
728,P03,ffa,face,cong,771.43198,0
3252,P12,ffa,face,cong,1017.209864,1
12909,p69,ffa,object,cong,843.8295133,0
13985,p73,lo,object,cong,1280.702718,1
11290,p64,ffa,object,cong,777.8086232,0
2982,P10,lo,face,cong,919.5859683,1
9461,p58,ffa,object,incong,1258.065394,0
5796,P20,lo,face,cong,721.285195,0
9707,p59,ffa,object,cong,742.2312628,0
12910,p69,ffa,object,cong,1117.245528,1
9834,p59,lo,object,incong,902.9298706,1
115,P01,ffa,face,cong,576.35205,1
7323,p51,ffa,object,cong,400.9334476,0
4884,P17,lo,face,cong,566.2349252,0
6908,P24,ffa,face,cong,812.0534961,0
13963,p73,lo,object,incong,578.9862042,0
9360,p57,lo,object,incong,1231.857601,1
6753,P23,lo,face,incong,1185.381469,0
7136,P24,lo,face,cong,1044.245702,0
3026,P10,lo,face,cong,1082.573081,0
11488,p64,lo,object,cong,1122.952349,0
10178,p60,lo,object,cong,669.4701743,0
2897,P10,ffa,face,cong,595.0789938,1
7609,p52,ffa,object,cong,1058.606015,0
13650,p72,lo,object,cong,1169.308669,1
2776,P09,lo,face,incong,1001.375886,0
8164,p54,ffa,object,cong,1268.626153,0
2578,P09,ffa,face,cong,815.4961216,1
13163,p70,ffa,object,incong,764.5956995,0
4078,P15,ffa,face,cong,616.7492302,0
6128,P21,lo,face,cong,719.1336539,1
8575,p55,ffa,object,incong,523.8632385,1
8060,p53,lo,object,incong,408.4864612,1
10212,p60,lo,object,cong,559.2948997,1
7613,p52,ffa,object,cong,706.5195756,1
11113,p63,lo,object,cong,904.5437085,0
8176,p54,ffa,object,cong,1131.249036,0
12987,p69,lo,object,cong,563.6404234,0
10790,p62,lo,object,cong,1121.614283,1
2238,P08,ffa,face,cong,908.3719898,0
4441,P16,ffa,face,incong,1033.943869,1
6386,P22,ffa,face,cong,462.1283738,0
5139,P18,ffa,face,cong,1156.469247,0
8055,p53,lo,object,cong,1076.006471,1
7156,P24,lo,face,cong,663.485968,1
10489,p61,lo,object,cong,447.0988511,1
10377,p61,ffa,object,incong,439.5777778,0
13509,p72,ffa,object,incong,1078.041793,1
1544,P05,lo,face,cong,535.0171644,1
6101,P21,lo,face,cong,1112.710449,1
4867,P17,lo,face,cong,671.7116629,0
8457,p55,ffa,object,cong,914.3428274,0
8601,p55,lo,object,cong,510.9254354,0
9832,p59,lo,object,cong,672.3899783,0
2925,P10,ffa,face,incong,569.6263191,0
10856,p62,lo,object,cong,1111.998022,0
75,P01,ffa,face,cong,1262.163984,1
10708,p62,ffa,object,incong,599.8161248,0
10843,p62,lo,object,cong,494.9709368,1
12285,p67,ffa,object,incong,679.9464667,0
7129,P24,lo,face,cong,703.0648853,0
217,P01,lo,face,incong,949.5906678,0
8056,p53,lo,object,cong,663.0971497,1
8146,p54,ffa,object,cong,1110.768769,1
11403,p64,lo,object,cong,657.1757028,1
2678,P09,lo,face,cong,624.9492635,0
5029,P18,ffa,face,incong,917.7596199,0
13852,p73,ffa,object,cong,735.4770752,0
9696,p59,ffa,object,cong,555.7055731,0
13403,p70,lo,object,cong,806.6911263,1
5840,P20,lo,face,cong,1048.533828,1
6873,P24,ffa,face,cong,1095.447737,1
11727,p65,lo,object,cong,805.8573939,0
11463,p64,lo,object,cong,620.3246043,0
1971,P07,ffa,face,cong,1231.210146,0
1385,P05,ffa,face,cong,810.8134944,0
7908,p53,ffa,object,incong,582.2179868,1
7427,p51,lo,object,incong,1030.259853,1
1426,P05,lo,face,cong,450.9845728,1
411,P02,ffa,face,cong,948.5008468,0
12948,p69,ffa,object,cong,881.4497413,0
12426,p67,lo,object,cong,656.2139746,1
550,P02,lo,face,cong,923.7773369,1
14052,p74,ffa,object,cong,846.8443151,0
3925,P14,lo,face,cong,973.2513339,1
9368,p58,ffa,object,cong,612.8243179,1
5798,P20,lo,face,incong,1064.580359,1
10156,p60,lo,object,incong,980.407666,1
5389,P19,ffa,face,cong,1184.136964,0
14335,p74,lo,object,cong,1022.54946,1
9462,p58,ffa,object,incong,977.6722535,1
4321,P15,lo,face,cong,1171.777458,1
13204,p70,ffa,object,incong,745.6653738,0
4362,P15,lo,face,cong,596.3448962,0
13133,p70,ffa,object,cong,580.4582886,1
852,P03,lo,face,cong,415.0986716,1
567,P02,lo,face,cong,805.1277576,0
2147,P07,lo,face,cong,627.8750337,0
10698,p62,ffa,object,cong,587.821145,1
2264,P08,ffa,face,cong,819.1874787,0
132,P01,ffa,face,cong,1051.540278,0
8035,p53,lo,object,cong,946.2041179,0
3546,P13,ffa,face,cong,1027.339244,1
5344,P19,ffa,face,cong,663.3478158,1
12448,p67,lo,object,cong,1059.079167,1
4856,P17,lo,face,cong,1192.217583,1
3004,P10,lo,face,cong,583.1708805,1
6024,P21,ffa,face,cong,875.8179373,1
14248,p74,lo,object,cong,1149.666949,0
13224,p70,ffa,object,cong,1066.346572,1
1973,P07,ffa,face,cong,428.0449836,0
12476,p67,lo,object,cong,739.2963093,0
9370,p58,ffa,object,cong,683.4794054,1
11705,p65,lo,object,cong,1026.830158,1
3915,P14,lo,face,cong,595.3179634,1
3476,P13,ffa,face,cong,558.8485869,1
5914,P20,lo,face,cong,1070.137174,1
199,P01,lo,face,cong,1235.178858,1
13055,p69,lo,object,cong,629.5321618,0
6629,P23,ffa,face,incong,1034.700999,1
14291,p74,lo,object,cong,1041.133399,0
11019,p63,ffa,object,cong,684.8061704,0
11745,p65,lo,object,cong,422.6987739,1
3912,P14,lo,face,cong,876.7802417,1
5002,P18,ffa,face,cong,470.6309974,1
789,P03,lo,face,cong,795.2723658,0
6276,P22,ffa,face,cong,741.411498,1
7619,p52,ffa,object,cong,1006.40297,0
4780,P17,ffa,face,cong,482.2552143,1
2839,P10,ffa,face,cong,460.2973277,0
8604,p55,lo,object,cong,400.4305137,0
10204,p60,lo,object,cong,472.6834057,0
12415,p67,lo,object,incong,900.5060369,0
2447,P08,lo,face,cong,1278.66576,1
5083,P18,ffa,face,incong,664.2861688,1
8317,p54,lo,object,cong,1238.91664,0
5915,P20,lo,face,cong,1179.168247,0
4194,P15,ffa,face,cong,589.5249112,0
12318,p67,ffa,object,cong,785.480928,1
1635,P06,ffa,face,incong,778.1457448,1
2431,P08,lo,face,cong,973.8990728,0
12962,p69,lo,object,incong,1099.854252,0
7581,p52,ffa,object,incong,690.7197956,1
4949,P17,lo,face,cong,1063.140876,1
713,P03,ffa,face,cong,625.0712793,0
8943,p56,lo,object,cong,1038.314895,0
14254,p74,lo,object,cong,532.4390214,1
1044,P04,ffa,face,incong,828.9257566,0
4841,P17,lo,face,cong,1138.551274,1
10346,p61,ffa,object,cong,1174.222298,0
1679,P06,ffa,face,cong,823.4006068,1
7345,p51,lo,object,cong,679.1660155,0
6508,P22,lo,face,cong,1249.775184,1
19,P01,ffa,face,cong,1137.731872,0
9969,p59,lo,object,cong,459.0721816,0
9573,p58,lo,object,incong,1260.257321,1
6943,P24,ffa,face,incong,1261.00796,0
7079,P24,lo,face,cong,768.6778769,1
2488,P08,lo,face,cong,997.9456589,0
9937,p59,lo,object,incong,935.8474025,1
9948,p59,lo,object,cong,629.3290324,0
7783,p52,lo,object,cong,473.0971927,0
3630,P13,lo,face,incong,1175.499687,0
12355,p67,lo,object,cong,1093.271607,1
1950,P07,ffa,face,cong,773.7206639,1
4261,P15,lo,face,incong,1159.893174,1
1238,P04,lo,face,cong,1188.522541,0
9634,p58,lo,object,cong,669.8118918,1
7508,p52,ffa,object,cong,881.2938738,1
3534,P13,ffa,face,incong,1159.447657,0
9932,p59,lo,object,cong,937.2476702,0
2806,P09,lo,face,incong,1107.921522,1
8455,p55,ffa,object,cong,473.590804,0
308,P01,lo,face,cong,900.0554536,1
1000,P04,ffa,face,cong,1264.803979,1
14047,p74,ffa,object,cong,463.6257035,1
1753,P06,lo,face,cong,824.4621773,1
721,P03,ffa,face,incong,619.879417,0
8431,p55,ffa,object,cong,413.2750031,0
8579,p55,ffa,object,cong,637.9083775,0
3244,P12,ffa,face,cong,705.3044446,1
3771,P14,ffa,face,cong,718.7650266,0
9059,p57,ffa,object,cong,704.9678034,0
7509,p52,ffa,object,cong,571.7017913,1
3626,P13,lo,face,incong,685.5432218,0
6222,P21,lo,face,incong,739.6326723,1
4287,P15,lo,face,cong,515.0028815,1
5427,P19,ffa,face,cong,794.2598639,0
12756,p68,lo,object,cong,409.2280621,0
6447,P22,lo,face,cong,580.224814,1
565,P02,lo,face,cong,990.9543142,0
3966,P14,lo,face,cong,1110.777694,1
11230,p63,lo,object,cong,1165.410225,0
11251,p64,ffa,object,cong,554.1249957,1
12057,p66,lo,object,cong,957.1229741,0
11678,p65,ffa,object,cong,1189.651621,1
7606,p52,ffa,object,cong,924.8607146,1
3331,P12,lo,face,cong,889.3406641,0
5273,P18,lo,face,cong,690.2230113,0
3061,P10,lo,face,cong,570.9012316,0
10062,p60,ffa,object,cong,537.535918,1
945,P04,ffa,face,cong,568.1159702,0
3025,P10,lo,face,incong,653.7284857,0
2801,P09,lo,face,incong,923.5365638,0
875,P03,lo,face,cong,948.9808306,1
2969,P10,lo,face,incong,755.7078572,0
3880,P14,ffa,face,cong,1250.686336,1
2829,P10,ffa,face,incong,1033.261056,0
3806,P14,ffa,face,cong,924.6110391,0
4366,P15,lo,face,cong,1126.314983,1
1620,P06,ffa,face,cong,449.8799916,1
7685,p52,lo,object,cong,1008.794611,0
12991,p69,lo,object,cong,464.2852901,1
2983,P10,lo,face,cong,985.4724714,1
9951,p59,lo,object,cong,654.1015288,1
8870,p56,ffa,object,cong,1267.569434,0
905,P03,lo,face,cong,606.261078,1
4952,P17,lo,face,cong,780.4362327,0
12574,p68,ffa,object,cong,1132.967382,1
6860,P23,lo,face,cong,1179.106347,1
10171,p60,lo,object,incong,518.1137689,0
3705,P13,lo,face,incong,629.0498142,0
8702,p55,lo,object,cong,432.3335921,1
13791,p73,ffa,object,cong,667.1297626,0
11629,p65,ffa,object,cong,850.2779556,0
12555,p68,ffa,object,incong,904.5281248,1
7351,p51,lo,object,cong,556.3758474,0
5526,P19,lo,face,incong,1243.167614,0
1972,P07,ffa,face,cong,848.0136909,1
11589,p65,ffa,object,cong,993.8919976,1
6177,P21,lo,face,cong,786.3774423,1
6831,P23,lo,face,cong,942.8020995,0
3339,P12,lo,face,cong,1211.557916,0
5173,P18,lo,face,cong,829.1020724,1
1450,P05,lo,face,cong,536.4884491,1
800,P03,lo,face,incong,1284.258789,1
1962,P07,ffa,face,cong,1208.245246,1
9284,p57,lo,object,cong,808.2505901,0
10386,p61,ffa,object,incong,1257.836688,1
11756,p65,lo,object,cong,991.0082773,1
8268,p54,ffa,object,cong,854.0176793,1
4793,P17,ffa,face,cong,702.9392352,0
10320,p61,ffa,object,incong,681.8876601,1
4153,P15,ffa,face,cong,520.4760243,0
506,P02,lo,face,cong,1151.914836,0
14341,p74,lo,object,cong,780.1433883,1
8846,p56,ffa,object,cong,871.1602851,0
9479,p58,ffa,object,incong,426.3195777,1
1288,P05,ffa,face,incong,786.8843323,0
5908,P20,lo,face,cong,623.4984632,0
10439,p61,ffa,object,cong,1114.164721,0
5805,P20,lo,face,cong,1205.589794,0
9453,p58,ffa,object,cong,1176.146085,1
11407,p64,lo,object,cong,721.3540561,1
6010,P21,ffa,face,cong,509.1264591,0
12014,p66,lo,object,cong,408.4733384,0
841,P03,lo,face,cong,1172.40586,0
5818,P20,lo,face,cong,444.1926997,0
12680,p68,lo,object,cong,513.5847854,1
4222,P15,lo,face,cong,651.5129447,1
6460,P22,lo,face,cong,1262.695169,0
1628,P06,ffa,face,cong,945.7216248,0
3151,P12,ffa,face,cong,818.1011174,0
2563,P09,ffa,face,cong,777.913738,0
13558,p72,ffa,object,cong,762.9551871,1
11905,p66,ffa,object,cong,724.0584191,0
547,P02,lo,face,cong,873.1319563,1
8313,p54,lo,object,cong,1075.129001,0
11454,p64,lo,object,cong,1274.310573,1
11923,p66,ffa,object,incong,601.870828,0
12334,p67,lo,object,cong,1134.37942,0
13841,p73,ffa,object,cong,854.5435993,0
4469,P16,ffa,face,cong,1215.229049,1
13416,p70,lo,object,cong,939.0398969,0
8613,p55,lo,object,cong,1042.479449,0
4695,P17,ffa,face,incong,893.7443983,1
9857,p59,lo,object,cong,839.8538119,0
2593,P09,ffa,face,cong,652.0280498,1
7042,P24,lo,face,cong,847.1256221,0
14067,p74,ffa,object,cong,658.5743942,1
1200,P04,lo,face,cong,1256.259468,0
13609,p72,lo,object,cong,813.939747,0
5555,P19,lo,face,incong,416.5014258,1
10993,p63,ffa,object,incong,766.6141848,0
7410,p51,lo,object,incong,745.4854977,1
14165,p74,ffa,object,cong,873.8333167,0
10562,p61,lo,object,incong,710.7813131,0
8516,p55,ffa,object,cong,1190.162398,0
1289,P05,ffa,face,cong,883.1591588,0
10846,p62,lo,object,cong,1152.799781,1
6893,P24,ffa,face,incong,1079.656383,1
11138,p63,lo,object,cong,459.165148,1
3538,P13,ffa,face,cong,841.1526675,1
12263,p67,ffa,object,cong,838.9262183,0
9403,p58,ffa,object,cong,1275.945996,1
1605,P06,ffa,face,cong,769.7665542,0
727,P03,ffa,face,cong,732.8390685,1
2452,P08,lo,face,cong,503.0604554,1
2329,P08,ffa,face,cong,688.7871355,0
12877,p69,ffa,object,cong,578.4089149,1
5933,P21,ffa,face,cong,1261.990053,0
4906,P17,lo,face,cong,1203.313365,0
9097,p57,ffa,object,cong,1036.811773,0
9145,p57,ffa,object,cong,969.9213207,0
2688,P09,lo,face,incong,838.8131804,1
890,P03,lo,face,cong,885.7981485,0
7019,P24,ffa,face,cong,1159.90904,1
1212,P04,lo,face,cong,974.1770204,1
742,P03,ffa,face,cong,1230.129861,0
13521,p72,ffa,object,cong,1073.36288,0
13401,p70,lo,object,incong,1077.629789,1
12169,p67,ffa,object,incong,1223.876792,0
2996,P10,lo,face,incong,983.0567881,0
6771,P23,lo,face,cong,746.5455871,1
10642,p62,ffa,object,incong,831.7863213,0
6106,P21,lo,face,cong,958.8948784,0
9952,p59,lo,object,cong,1186.305388,0
6977,P24,ffa,face,cong,1102.308102,1
2370,P08,lo,face,cong,1015.032574,1
6991,P24,ffa,face,cong,1093.08987,0
2404,P08,lo,face,cong,465.8690959,0
9463,p58,ffa,object,cong,654.2768614,0
5791,P20,lo,face,cong,733.9880125,1
